#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0
519,風雅精通,0,6158,0,34,111,86,111,0
520,技能威力提高,0,6801,0,34,111,66,111,0
521,技能威力提高II,0,6802,0,34,111,84,111,0
522,技能威力提高II,0,6802,0,30,92,84,92,0
523,技能威力提高II,0,6802,0,39,180,84,180,0
524,牙系技能效果提高,0,6501,0,41,196,55,196,0
525,大牙系技能效果提高,0,6502,0,41,196,60,196,0
526,蛇系技能效果提高,0,6503,0,41,196,75,196,0
527,大蛇系技能效果提高,0,6504,0,41,196,80,196,0
528,飛蛇之魂,0,6505,0,41,196,82,196,0
529,蛇行效果提高,0,6506,3,41,196,84,196,0
530,飛蛇之魂效果提高,0,6507,0,41,196,88,196,0
531,祖靈之魂,0,6508,0,41,196,90,196,0
532,飛蛇之尾效果提高,0,6510,0,41,196,92,196,0
533,祖靈之魂效果提高,0,6511,0,41,196,96,196,0
534,祖靈之牙精通,0,6509,0,41,196,100,196,0
535,,0,0,0,0,0,0,0,0
536,,0,0,0,0,0,0,0,0
537,調色值,0,6551,0,42,197,60,197,0
538,顏料魔法效果提高,0,6552,0,42,197,80,197,0
539,速塗效果提高,0,6553,0,42,197,84,197,0
540,彩繪效果提高II,0,6554,2,42,197,86,197,0
541,坦培拉效果提高,0,6555,0,42,197,88,197,0
542,調色板效果提高,0,6556,0,42,197,90,197,0
543,彩繪效果提高III,0,6560,0,42,197,92,197,0
544,彩繪效果提高V,0,6561,0,42,197,100,197,0
545,彩繪效果提高IV,0,6559,3,42,197,96,197,0
546,彩繪效果提高,0,6558,0,42,197,82,197,0
547,,0,0,0,0,0,0,0,0
548,精密製作精通,0,6951,0,8,9,94,9,0
549,精密製作精通,0,6952,0,9,10,94,10,0
550,精密製作精通,0,6953,0,10,11,94,11,0
551,精密製作精通,0,6954,0,11,12,94,12,0
552,精密製作精通,0,6955,0,12,13,94,13,0
553,精密製作精通,0,6956,0,13,14,94,14,0
554,精密製作精通,0,6957,0,14,15,94,15,0
555,精密製作精通,0,6958,0,15,16,94,16,0
556,工匠的良機,0,6975,0,8,9,96,9,0
557,工匠的良機,0,6975,0,9,10,96,10,0
558,工匠的良機,0,6975,0,10,11,96,11,0
559,工匠的良機,0,6975,0,11,12,96,12,0
560,工匠的良機,0,6975,0,12,13,96,13,0
561,工匠的良機,0,6975,0,13,14,96,14,0
562,工匠的良機,0,6975,0,14,15,96,15,0
563,工匠的良機,0,6975,0,15,16,96,16,0
564,預警精通,0,5202,0,19,20,92,20,0
565,安魂祈禱精通,0,5223,0,19,20,96,20,0
566,英勇之劍效果提高,0,5224,0,19,20,100,20,0
567,復仇精通,0,5271,0,21,22,92,22,0
568,原初的解放效果提高,0,5272,0,21,22,96,22,0
569,蠻荒崩裂效果提高,0,5273,0,21,22,100,22,0
570,嗜血精通,0,6053,0,32,98,68,98,0
571,暗影牆精通,0,6068,0,32,98,92,98,0
572,血亂效果提高,0,6069,0,32,98,96,98,0
573,掠影示現效果提高III,0,6070,0,32,98,100,98,0
574,星雲精通,0,6308,0,37,149,92,149,0
575,續劍效果提高II,0,6309,0,37,149,96,149,0
576,血壤效果提高,0,6310,0,37,149,100,149,0
577,象形拳,0,5249,0,20,21,92,21,0
578,疾風極意效果提高,0,5526,0,20,21,96,21,0
579,紅蓮極意效果提高,0,5527,0,20,21,100,21,0
580,龍翼滑翔效果提高,0,5295,2,22,23,84,23,0
581,龍炎衝效果提高,0,5296,0,22,23,92,23,0
582,長槍精通IV,0,5293,0,22,23,96,23,0
583,墜星衝效果提高,0,5298,0,22,23,100,23,0
584,攻擊速度提高,0,5421,0,30,92,45,92,0
585,奪取精通,0,5422,0,30,92,66,92,0
586,攻其不備精通,0,5423,0,30,92,92,92,0
587,介毒之術效果提高,0,5424,0,30,92,96,92,0
588,天地人效果提高,0,5726,0,30,92,100,92,0
589,心眼精通,0,6159,0,34,111,82,111,0
590,刃風精通,0,6160,0,34,111,92,111,0
591,必殺劍效果提高,0,6161,-600,34,111,94,111,0
592,意氣衝天效果提高II,0,6162,0,34,111,96,111,0
593,明鏡止水效果提高II,0,6163,0,34,111,100,111,0
594,夜遊魂衣效果提高,0,6411,0,39,180,92,180,0
595,,0,0,0,0,0,0,0,0
596,暴食效果提高,0,6413,0,39,180,96,180,0
597,大豐收效果提高,0,6414,0,39,180,100,180,0
598,廣域群射精通,0,5322,0,23,24,72,24,0
599,失血箭精通,0,5323,0,23,24,92,24,0
600,紛亂箭效果提高,0,5301,0,23,24,96,24,0
601,行吟效果提高II,0,5324,0,23,24,98,24,0
602,光明神的最終樂章效果提高,0,5601,0,23,24,100,24,0
603,高熱衝擊波精通,0,6021,0,31,96,68,96,0
604,累積技能精通,0,6022,0,31,96,92,96,0
605,多種武器效果提高,0,6023,2,31,96,94,96,0
606,多種武器效果提高II,0,6024,0,31,96,96,96,0
607,策動效果提高II,0,6025,0,31,96,98,96,0
608,槍管加熱效果提高,0,6026,0,31,96,100,96,0
609,標準舞步結束效果提高,0,6362,0,38,150,92,150,0
610,百花爭艷效果提高II,0,6363,0,38,150,96,150,0
611,防守之桑巴效果提高II,0,6364,0,38,150,98,150,0
612,技巧舞步結束效果提高II,0,6365,0,38,150,100,150,0
613,雷電精通III,0,5651,0,25,26,92,26,0
614,黑魔紋效果提高,0,5652,0,25,26,96,26,0
615,通曉效果提高II,0,5653,0,25,26,98,26,0
616,星極火效果提高,0,5654,0,25,26,100,26,0
617,潰爛爆發精通,0,5398,0,27,28,92,28,0
618,灼熱之光效果提高,0,5399,0,27,28,96,28,0
619,龍神召喚效果提高II,0,5698,0,27,28,100,28,0
620,鼓勵效果提高,0,6213,0,35,112,92,112,0
621,促進效果提高II,0,6214,0,35,112,96,112,0
622,魔元化效果提高III,0,6215,0,35,112,100,112,0
623,神速詠唱效果提高,0,5346,0,24,25,92,25,0
624,醫濟精通,0,5347,0,24,25,96,25,0
625,神名效果提高,0,5349,2,24,25,98,25,0
626,節制效果提高,0,5348,0,24,25,100,25,0
627,連環計效果提高,0,5707,0,28,29,92,29,0
628,士氣高揚之策精通,0,5708,0,28,29,96,29,0
629,秘策效果提高,0,5710,-300,28,29,98,29,0
630,,0,0,0,0,0,0,0,0
631,小奧秘卡精通,0,6120,0,33,99,70,99,0
632,占卜效果提高,0,6121,0,33,99,92,99,0
633,陽星相位精通,0,6122,0,33,99,96,99,0
634,先天稟賦效果提高II,0,6124,3,33,99,98,99,0
635,中間學派效果提高,0,6123,0,33,99,100,99,0
636,拯救效果提高,0,6461,-300,40,181,94,181,0
637,均衡預後精通,0,6460,0,40,181,96,181,0
638,自生II效果提高,0,6462,0,40,181,98,181,0
639,鐵壁效果提高,0,6804,0,0,113,94,113,0
640,雪仇效果提高,0,6805,0,0,113,98,113,0
641,牽制效果提高,0,6851,0,0,114,98,114,0
642,內丹效果提高,0,6852,0,0,118,94,118,0
643,昏亂效果提高,0,6827,0,0,198,98,198,0
644,即刻詠唱效果提高,0,6828,-200,0,199,94,199,0
645,強化洞察,67631,5447,0,16,17,100,17,0
646,強化洞察,67631,5472,0,17,18,100,18,0
647,再次發現,0,5446,0,16,17,91,17,0
648,再次發現,0,5471,0,17,18,91,18,0
649,漁師的慧眼,0,5480,0,18,19,50,19,0
650,技能威力提高II,0,6802,0,19,20,94,20,0
651,技能威力提高,0,6831,0,24,25,94,25,0
652,技能威力提高,0,6831,0,35,112,94,112,0
653,技能威力提高,0,6806,0,22,23,94,23,0
654,技能威力提高II,0,6802,0,21,22,94,22,0
655,技能威力提高III,0,6803,0,34,111,94,111,0
656,技能威力提高,0,6831,0,28,29,94,29,0
657,技能威力提高III,0,6803,0,39,180,94,180,0
658,技能威力提高II,0,6802,0,31,96,94,96,0
659,天語效果提高IV,0,5655,22,25,26,96,26,0
660,技能威力提高II,0,6802,0,20,21,94,21,0
661,技能威力提高III,0,6803,0,30,92,94,92,0
662,技能威力提高,0,6806,0,38,150,94,150,0
663,技能威力提高II,0,6802,0,32,98,94,98,0
664,技能威力提高,0,6831,0,27,28,94,28,0
665,戰逃反應效果提高,67570,5205,0,19,20,54,20,0
666,無情效果提高,0,6311,0,37,149,54,149,0
667,技能威力提高II,0,6802,0,37,149,94,149,0
668,技能威力提高,0,6806,0,23,24,94,24,0
669,技能威力提高,0,6831,0,40,181,94,181,0
670,技能效果提高,0,5185,10,42,197,20,197,0
671,技能效果提高II,0,5186,30,42,197,40,197,0
672,技能威力提高,0,6829,0,42,197,54,197,0
673,技能威力提高,0,6831,0,33,99,94,99,0
674,技能威力提高,0,6801,0,41,196,74,196,0
675,技能威力提高II,0,6802,0,41,196,84,196,0
676,技能威力提高II,0,6830,0,42,197,74,197,0
677,技能威力提高III,0,6832,0,42,197,84,197,0
678,技能威力提高IV,0,6833,0,42,197,94,197,0
679,,0,0,0,0,0,0,0,0
680,,0,0,0,0,0,0,0,0
681,,0,0,0,0,0,0,0,0
682,,0,0,0,0,0,0,0,0
683,,0,0,0,0,0,0,0,0
684,,0,0,0,0,0,0,0,0
685,,0,0,0,0,0,0,0,0
686,,0,0,0,0,0,0,0,0
687,,0,0,0,0,0,0,0,0
688,,0,0,0,0,0,0,0,0
689,,0,0,0,0,0,0,0,0
690,,0,0,0,0,0,0,0,0
691,,0,0,0,0,0,0,0,0
692,,0,0,0,0,0,0,0,0
693,,0,0,0,0,0,0,0,0
694,,0,0,0,0,0,0,0,0
695,,0,0,0,0,0,0,0,0
696,,0,0,0,0,0,0,0,0
697,,0,0,0,0,0,0,0,0
698,,0,0,0,0,0,0,0,0
699,,0,0,0,0,0,0,0,0
700,,0,0,0,0,0,0,0,0
701,,0,0,0,0,0,0,0,0
702,,0,0,0,0,0,0,0,0
703,,0,0,0,0,0,0,0,0
704,,0,0,0,0,0,0,0,0
705,,0,0,0,0,0,0,0,0
706,,0,0,0,0,0,0,0,0
707,,0,0,0,0,0,0,0,0
708,,0,0,0,0,0,0,0,0
709,,0,0,0,0,0,0,0,0
710,,0,0,0,0,0,0,0,0
711,,0,0,0,0,0,0,0,0
712,,0,0,0,0,0,0,0,0
713,,0,0,0,0,0,0,0,0
714,,0,0,0,0,0,0,0,0
715,,0,0,0,0,0,0,0,0
716,,0,0,0,0,0,0,0,0
717,,0,0,0,0,0,0,0,0
718,,0,0,0,0,0,0,0,0
719,,0,0,0,0,0,0,0,0
720,,0,0,0,0,0,0,0,0
721,,0,0,0,0,0,0,0,0
722,,0,0,0,0,0,0,0,0
723,,0,0,0,0,0,0,0,0
724,,0,0,0,0,0,0,0,0
725,,0,0,0,0,0,0,0,0
726,,0,0,0,0,0,0,0,0
727,,0,0,0,0,0,0,0,0
728,,0,0,0,0,0,0,0,0
729,,0,0,0,0,0,0,0,0
730,,0,0,0,0,0,0,0,0
731,,0,0,0,0,0,0,0,0
732,,0,0,0,0,0,0,0,0
733,,0,0,0,0,0,0,0,0
734,,0,0,0,0,0,0,0,0
735,,0,0,0,0,0,0,0,0
736,,0,0,0,0,0,0,0,0
737,,0,0,0,0,0,0,0,0
738,,0,0,0,0,0,0,0,0
739,,0,0,0,0,0,0,0,0
740,,0,0,0,0,0,0,0,0
741,,0,0,0,0,0,0,0,0
742,,0,0,0,0,0,0,0,0
743,,0,0,0,0,0,0,0,0
744,,0,0,0,0,0,0,0,0
745,,0,0,0,0,0,0,0,0
746,,0,0,0,0,0,0,0,0
747,,0,0,0,0,0,0,0,0
748,,0,0,0,0,0,0,0,0
749,,0,0,0,0,0,0,0,0
750,,0,0,0,0,0,0,0,0
