#,Unknown0,Unknown1,Text,Unknown3,Unknown4
33.20,0,0,0,0,0
33.21,0,0,0,0,0
33.22,0,0,0,0,0
33.23,0,0,0,0,0
33.24,0,0,0,0,0
33.25,0,0,0,0,0
33.26,0,0,0,0,0
33.27,0,0,0,0,0
33.28,0,0,0,0,0
33.29,0,0,0,0,0
33.30,0,0,0,0,0
33.31,0,0,0,0,0
33.32,0,0,0,0,0
33.33,0,0,0,0,0
33.34,0,0,0,0,0
33.35,0,0,0,0,0
33.36,0,0,0,0,0
33.37,0,0,0,0,0
33.38,0,0,0,0,0
33.39,0,0,0,0,0
33.40,0,0,0,0,0
33.41,0,0,0,0,0
33.42,0,0,0,0,0
33.43,0,0,0,0,0
33.44,0,0,0,0,0
33.45,0,0,0,0,0
33.46,0,0,0,0,0
33.47,0,0,0,0,0
33.48,0,0,0,0,0
33.49,0,0,0,0,0
33.50,0,0,0,0,0
33.51,0,0,0,0,0
33.52,0,0,0,0,0
33.53,0,0,0,0,0
33.54,0,0,0,0,0
33.55,0,0,0,0,0
33.56,0,0,0,0,0
33.57,0,0,0,0,0
33.58,0,0,0,0,0
33.59,0,0,0,0,0
33.60,0,0,0,0,0
33.61,0,0,0,0,0
33.62,0,0,0,0,0
33.63,0,0,0,0,0
33.64,0,0,0,0,0
33.65,0,0,0,0,0
33.66,0,0,0,0,0
33.67,0,0,0,0,0
33.68,0,0,0,0,0
33.69,0,0,0,0,0
34.0,0,0,0,0,0
34.1,0,0,0,0,0
34.2,0,0,0,0,0
34.3,0,0,0,0,0
34.4,0,0,0,0,0
34.5,0,0,0,0,0
34.6,0,0,0,0,0
34.7,0,0,0,0,0
34.8,0,0,0,0,0
34.9,0,0,0,0,0
34.10,0,0,0,0,0
34.11,0,0,0,0,0
34.12,0,0,0,0,0
34.13,0,0,0,0,0
34.14,0,0,0,0,0
34.15,0,0,0,0,0
34.16,0,0,0,0,0
34.17,0,0,0,0,0
34.18,0,0,0,0,0
34.19,0,0,0,0,0
34.20,0,0,0,0,0
34.21,0,0,0,0,0
34.22,0,0,0,0,0
34.23,0,0,0,0,0
34.24,0,0,0,0,0
34.25,0,0,0,0,0
34.26,0,0,0,0,0
34.27,0,0,0,0,0
34.28,0,0,0,0,0
34.29,0,0,0,0,0
34.30,0,0,0,0,0
34.31,0,0,0,0,0
34.32,0,0,0,0,0
34.33,0,0,0,0,0
34.34,0,0,0,0,0
34.35,0,0,0,0,0
34.36,0,0,0,0,0
34.37,0,0,0,0,0
34.38,0,0,0,0,0
34.39,0,0,0,0,0
34.40,0,0,0,0,0
34.41,0,0,0,0,0
34.42,0,0,0,0,0
34.43,0,0,0,0,0
34.44,0,0,0,0,0
34.45,0,0,0,0,0
34.46,0,0,0,0,0
34.47,0,0,0,0,0
34.48,0,0,0,0,0
34.49,0,0,0,0,0
34.50,0,0,0,0,0
34.51,0,0,0,0,0
34.52,0,0,0,0,0
34.53,0,0,0,0,0
34.54,0,0,0,0,0
34.55,0,0,0,0,0
34.56,0,0,0,0,0
34.57,0,0,0,0,0
34.58,0,0,0,0,0
34.59,0,0,0,0,0
34.60,0,0,0,0,0
34.61,0,0,0,0,0
35.0,73273,8205289,41600,4,11
35.1,73273,8205290,41601,4,11
35.2,73273,8205291,41602,4,11
35.3,73273,8205292,41603,4,11
35.4,73273,8205293,41604,4,11
35.5,73273,8205294,41605,6,11
35.6,73273,8205295,41606,4,11
35.7,73273,8205296,41607,4,11
35.8,73273,8205297,41608,6,11
35.9,73273,8205298,41609,6,11
35.10,73273,8205299,41610,6,11
35.11,73273,8205300,41611,4,11
35.12,73273,8205301,41612,4,11
35.13,73273,8205302,41613,4,11
35.14,73273,8205303,41614,4,11
35.15,0,0,41615,1,7
35.16,0,0,41616,1,7
35.17,0,0,41617,1,7
35.18,0,0,41618,1,7
35.19,0,0,41619,1,7
35.20,73277,8205469,41620,6,11
35.21,73277,8205470,41621,7,11
35.22,73277,8205471,41622,6,11
35.23,73277,8205472,41623,5,11
35.24,73277,8205473,41624,4,11
35.25,73277,8205474,41625,4,11
35.26,73277,8205475,41626,5,11
36.0,0,0,0,0,0
36.1,0,0,0,0,0
36.2,0,0,0,0,0
36.3,0,0,0,0,0
36.4,0,0,0,0,0
36.5,0,0,0,0,0
36.6,0,0,0,0,0
36.7,0,0,0,0,0
36.8,0,0,0,0,0
36.9,0,0,0,0,0
36.10,0,0,0,0,0
36.11,0,0,0,0,0
36.12,0,0,0,0,0
36.13,0,0,0,0,0
36.14,0,0,0,0,0
36.15,0,0,0,0,0
36.16,0,0,0,0,0
36.17,0,0,0,0,0
36.18,0,0,0,0,0
36.19,0,0,0,0,0
36.20,0,0,0,0,0
36.21,0,0,0,0,0
36.22,0,0,0,0,0
36.23,0,0,0,0,0
36.24,0,0,0,0,0
36.25,0,0,0,0,0
36.26,0,0,0,0,0
36.27,0,0,0,0,0
36.28,0,0,0,0,0
36.29,0,0,0,0,0
36.30,0,0,0,0,0
36.31,0,0,0,0,0
36.32,0,0,0,0,0
36.33,0,0,0,0,0
36.34,0,0,0,0,0
36.35,0,0,0,0,0
36.36,0,0,0,0,0
36.37,0,0,0,0,0
36.38,0,0,0,0,0
36.39,0,0,0,0,0
36.40,0,0,0,0,0
36.41,0,0,0,0,0
36.42,0,0,0,0,0
36.43,0,0,0,0,0
36.44,0,0,0,0,0
36.45,0,0,0,0,0
36.46,0,0,0,0,0
36.47,0,0,0,0,0
36.48,0,0,0,0,0
36.49,0,0,0,0,0
36.50,0,0,0,0,0
36.51,0,0,0,0,0
36.52,0,0,0,0,0
36.53,0,0,0,0,0
36.54,0,0,0,0,0
36.55,0,0,0,0,0
36.56,0,0,0,0,0
36.57,0,0,0,0,0
36.58,0,0,0,0,0
36.59,0,0,0,0,0
36.60,0,0,0,0,0
36.61,0,0,0,0,0
36.62,0,0,0,0,0
36.63,0,0,0,0,0
36.64,0,0,0,0,0
36.65,0,0,0,0,0
36.66,0,0,0,0,0
36.67,0,0,0,0,0
36.68,0,0,0,0,0
36.69,0,0,0,0,0
36.70,0,0,0,0,0
36.71,0,0,0,0,0
36.72,0,0,0,0,0
36.73,0,0,0,0,0
36.74,0,0,0,0,0
36.75,0,0,0,0,0
36.76,0,0,0,0,0
36.77,0,0,0,0,0
36.78,0,0,0,0,0
36.79,0,0,0,0,0
36.80,0,0,0,0,0
36.81,0,0,0,0,0
36.82,0,0,0,0,0
36.83,0,0,0,0,0
36.84,0,0,0,0,0
37.0,0,0,0,0,0
37.1,0,0,0,0,0
37.2,0,0,0,0,0
37.3,0,0,0,0,0
37.4,0,0,0,0,0
37.5,0,0,0,0,0
37.6,0,0,0,0,0
37.7,0,0,0,0,0
37.8,0,0,0,0,0
37.9,0,0,0,0,0
37.10,0,0,0,0,0
37.11,0,0,0,0,0
37.12,0,0,0,0,0
37.13,0,0,0,0,0
37.14,0,0,0,0,0
37.15,0,0,0,0,0
37.16,0,0,0,0,0
37.17,0,0,0,0,0
37.18,0,0,0,0,0
37.19,0,0,0,0,0
37.20,0,0,0,0,0
37.21,0,0,0,0,0
37.22,0,0,0,0,0
38.0,0,0,0,0,0
38.1,0,0,0,0,0
38.2,0,0,0,0,0
38.3,0,0,0,0,0
38.4,0,0,0,0,0
39.0,0,0,0,0,0
39.1,0,0,0,0,0
39.2,0,0,0,0,0
39.3,0,0,0,0,0
39.4,0,0,0,0,0
39.5,0,0,0,0,0
39.6,0,0,0,0,0
39.7,0,0,0,0,0
39.8,0,0,0,0,0
39.9,0,0,0,0,0
39.10,0,0,0,0,0
39.11,0,0,0,0,0
39.12,0,0,0,0,0
39.13,0,0,0,0,0
39.14,0,0,0,0,0
39.15,0,0,0,0,0
39.16,0,0,0,0,0
39.17,0,0,0,0,0
39.18,0,0,0,0,0
39.19,0,0,0,0,0
39.20,0,0,0,0,0
39.21,0,0,0,0,0
39.22,0,0,0,0,0
39.23,0,0,0,0,0
39.24,0,0,0,0,0
40.0,0,0,0,0,0
40.1,0,0,0,0,0
40.2,0,0,0,0,0
40.3,0,0,0,0,0
40.4,0,0,0,0,0
40.5,0,0,0,0,0
40.6,0,0,0,0,0
40.7,0,0,0,0,0
40.8,0,0,0,0,0
40.9,0,0,0,0,0
40.10,0,0,0,0,0
40.11,0,0,0,0,0
40.12,0,0,0,0,0
40.13,0,0,0,0,0
40.14,0,0,0,0,0
40.15,0,0,0,0,0
40.16,0,0,0,0,0
40.17,0,0,0,0,0
40.18,0,0,0,0,0
40.19,0,0,0,0,0
40.20,0,0,0,0,0
40.21,0,0,0,0,0
40.22,0,0,0,0,0
40.23,0,0,0,0,0
40.24,0,0,0,0,0
40.25,0,0,0,0,0
40.26,0,0,0,0,0
40.27,0,0,0,0,0
40.28,0,0,0,0,0
40.29,0,0,0,0,0
40.30,0,0,0,0,0
40.31,0,0,0,0,0
40.32,0,0,0,0,0
40.33,0,0,0,0,0
40.34,0,0,0,0,0
40.35,0,0,0,0,0
40.36,0,0,0,0,0
40.37,0,0,0,0,0
40.38,0,0,0,0,0
40.39,0,0,0,0,0
40.40,0,0,0,0,0
40.41,0,0,0,0,0
40.42,0,0,0,0,0
40.43,0,0,0,0,0
40.44,0,0,0,0,0
41.0,0,0,0,0,0
41.1,0,0,0,0,0
41.2,0,0,0,0,0
41.3,0,0,0,0,0
41.4,0,0,0,0,0
41.5,0,0,0,0,0
41.6,0,0,0,0,0
41.7,0,0,0,0,0
41.8,0,0,0,0,0
41.9,0,0,0,0,0
41.10,0,0,0,0,0
41.11,0,0,0,0,0
41.12,0,0,0,0,0
41.13,0,0,0,0,0
41.14,0,0,0,0,0
41.15,0,0,0,0,0
41.16,0,0,0,0,0
41.17,0,0,0,0,0
41.18,0,0,0,0,0
41.19,0,0,0,0,0
41.20,0,0,0,0,0
41.21,0,0,0,0,0
41.22,0,0,0,0,0
41.23,0,0,0,0,0
41.24,0,0,0,0,0
41.25,0,0,0,0,0
41.26,0,0,0,0,0
42.0,0,0,0,0,0
42.1,0,0,0,0,0
42.2,0,0,0,0,0
42.3,0,0,0,0,0
42.4,0,0,0,0,0
42.5,0,0,0,0,0
42.6,0,0,0,0,0
42.7,0,0,0,0,0
42.8,0,0,0,0,0
42.9,0,0,0,0,0
42.10,0,0,0,0,0
42.11,0,0,0,0,0
42.12,0,0,0,0,0
42.13,0,0,0,0,0
42.14,0,0,0,0,0
42.15,0,0,0,0,0
42.16,0,0,0,0,0
42.17,0,0,0,0,0
42.18,0,0,0,0,0
42.19,0,0,0,0,0
42.20,0,0,0,0,0
42.21,0,0,0,0,0
42.22,0,0,0,0,0
42.23,0,0,0,0,0
42.24,0,0,0,0,0
43.0,0,0,0,0,0
44.0,0,0,0,0,0
44.1,0,0,0,0,0
44.2,0,0,0,0,0
44.3,0,0,0,0,0
44.4,0,0,0,0,0
44.5,0,0,0,0,0
44.6,0,0,0,0,0
44.7,0,0,0,0,0
44.8,0,0,0,0,0
44.9,0,0,0,0,0
44.10,0,0,0,0,0
44.11,0,0,0,0,0
44.12,0,0,0,0,0
44.13,0,0,0,0,0
44.14,0,0,0,0,0
44.15,0,0,0,0,0
44.16,0,0,0,0,0
44.17,0,0,0,0,0
44.18,0,0,0,0,0
44.19,0,0,0,0,0
44.20,0,0,0,0,0
44.21,0,0,0,0,0
44.22,0,0,0,0,0
44.23,0,0,0,0,0
44.24,0,0,0,0,0
44.25,0,0,0,0,0
44.26,0,0,0,0,0
44.27,0,0,0,0,0
44.28,0,0,0,0,0
44.29,0,0,0,0,0
44.30,0,0,0,0,0
44.31,0,0,0,0,0
44.32,0,0,0,0,0
44.33,0,0,0,0,0
44.34,0,0,0,0,0
44.35,0,0,0,0,0
44.36,0,0,0,0,0
44.37,0,0,0,0,0
44.38,0,0,0,0,0
44.39,0,0,0,0,0
45.0,0,0,0,0,0
45.1,0,0,0,0,0
45.2,0,0,0,0,0
45.3,0,0,0,0,0
45.4,0,0,0,0,0
45.5,0,0,0,0,0
45.6,0,0,0,0,0
45.7,0,0,0,0,0
45.8,0,0,0,0,0
45.9,0,0,0,0,0
45.10,0,0,0,0,0
45.11,0,0,0,0,0
45.12,0,0,0,0,0
45.13,0,0,0,0,0
45.14,0,0,0,0,0
45.15,0,0,0,0,0
